gamma1.1,,gamma1.01,,gamma1.05,,gamma1.3,,gamma1.5,,gamma1.8,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
76.29729325686382,0.020077816205533505,98.23288018799028,0.1583012775268211,88.84726304897237,0.035045364714336946,17.146607345289237,0.027606225296442632,21.719829066796716,0.014840662055336074,0.6842570923149978,0.2567317193675889
121.50362956763739,0.014513339920948498,127.5786511614432,0.12334794960474316,130.20003926837316,0.0243330039525691,26.377815465244876,0.01778656126482203,,,0.8148928963140658,0.2181077075098814
208.1223250343344,0.00960350790513842,177.59993631194408,0.0889047340998923,190.78024522880602,0.01704264732303251,39.66886083919441,0.01185384757905128,,,0.9873849617692423,0.18199316534914378
,,260.39565694301393,0.061082352676967266,279.5312606904192,0.01168646694214881,56.62718852206266,0.007669331656485978,,,1.2386374044944826,0.14614359824957646
,,380.3631206696799,0.042335721343873534,409.52888268614333,0.00960350790513842,82.95975734354471,0.006479069349622835,,,1.6655310297390842,0.11025506422924902
,,571.1600153911888,0.028588191699604693,635.7295712178402,0.006875823451910401,113.3808884636596,0.00679788961038974,,,2.3920443103897386,0.07703186758893277
,,854.5740797748933,0.0194231719367588,838.0169453829947,0.006330286561264886,280.81977551436626,0.0030570652173913526,,,3.413591754150833,0.05420114871541504
,,1243.4706970092298,0.0137694259791592,2244.1591508750553,0.0030570652173913526,395.6352856321082,0.0030570652173913526,,,5.303210465785568,0.03513463438735176
,,1952.8604099043168,0.009305942328422523,,,579.59138006018,0.0030570652173913526,,,7.8941305384139095,0.023310122282608647
,,2861.12633340078,0.006330286561264886,,,849.0804031883891,0.0030570652173913526,,,11.378864304098347,0.016695487483531002
,,3776.9254797606563,0.006330286561264886,,,3777.2979530643847,0.0030570652173913526,,,16.684736502528512,0.012222084980237247
,,,,,,5533.58004133241,0.003205848005749301,,,23.982947251527253,0.008580626235177746
,,,,,,8106.421892213033,0.003503413582464976,,,35.44329690899056,0.005839303359683745
,,,,,,,,,,88.93611738610215,0.0018668029105282091
,,,,,,,,,,130.28352244936718,0.0030570652173913526
,,,,,,,,,,163.25936933212358,0.0030570652173913526
,,,,,,,,,,2405.492450776287,0.0030570652173913526
